ID TIME pos
2 1.206 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
2 191.694 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.2968200000000001, -0.14203999999999994], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.24743000000000004, -0.15799000000000007], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 196.702 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.2968200000000001, -0.14203999999999994], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.24743000000000004, -0.15799000000000007], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 201.71 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.2968200000000001, -0.14203999999999994], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.24743000000000004, -0.15799000000000007], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 206.717 [-0.32367123717408164, -0.1985306594621452] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.2827200000000001, -0.14788], [0, 0], [0, 0], [0, 0], [-0.2782800000000001, -0.1465399999999999], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.24743000000000004, -0.15799000000000007], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 211.725 [-0.3229755055603362, -0.2005793725127909] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.2811699999999999, -0.15249000000000001], [0, 0], [0, 0], [0, 0], [-0.27695000000000003, -0.15037999999999996], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.24743000000000004, -0.15799000000000007], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 216.733 [-0.3240464448952624, -0.19334002435346107] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.26709000000000005, -0.13724000000000003], [0, 0], [0, 0], [0, 0], [-0.2782800000000001, -0.1418600000000001], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.27024000000000004, -0.14179000000000008], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 221.74 [-0.32596254712511513, -0.19147377958132114] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.26930999999999994, -0.13484000000000007], [0, 0], [0, 0], [0, 0], [-0.28105, -0.13884999999999992], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.2704200000000001, -0.14118999999999993], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 226.747 [-0.3263640126732414, -0.19108164271856756] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.27047, -0.13372000000000006], [0, 0], [0, 0], [0, 0], [-0.28169, -0.13823000000000008], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.2704200000000001, -0.14118999999999993], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 231.754 [-0.32740119393167094, -0.19013040787586402] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.27048000000000005, -0.13371], [0, 0], [0, 0], [0, 0], [-0.28169, -0.13823000000000008], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.2756099999999999, -0.13643000000000005], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 236.762 [-0.32740599938193565, -0.19012600056685647] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [-0.27048000000000005, -0.13371], [0, 0], [0, 0], [0, 0], [-0.28169, -0.13823000000000008], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [-0.2756099999999999, -0.13643000000000005], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
