ID TIME pos
3 266.658 [0.11520166671870899, 0.2575883334263124] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 271.666 [0.11520166666666681, 0.25758833333333364] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 276.675 [0.11520166666666667, 0.2575883333333334] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 281.684 [0.11520166666666667, 0.2575883333333334] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 286.693 [0.11299895387649826, 0.2556929669245942] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.09934999999999983, 0.26365000000000016], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 291.701 [0.11299750000391572, 0.2556916666701687] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.09934999999999983, 0.26365000000000016], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 296.709 [0.11299750000000001, 0.25569166666666676] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.09934999999999983, 0.26365000000000016], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 301.818 [0.11299750000000001, 0.25569166666666676] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.09934999999999983, 0.26365000000000016], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 306.826 [0.11298903846153849, 0.2556832051282052] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.09924, 0.2635399999999999], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 311.835 [0.11298833333523248, 0.2556825000018991] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14332000000000011, 0.30900000000000016], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.09924, 0.2635399999999999], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
