ID TIME pos
5 306.864 [-0.07363407407407406, -0.28082940740740736] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [-0.016699999999999937, -0.2411700000000001], [0, 0], [0.039759999999999796, -0.17713], [0.18367000000000022, -0.23418000000000005], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 311.872 [-0.05562224488811724, -0.26895891849922837] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [-0.018829999999999902, -0.24360000000000004], [0, 0], [0.039759999999999796, -0.17713], [0.17445000000000022, -0.23848000000000003], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 316.879 [-0.057769230707898515, -0.2678183778500969] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [-0.018829999999999902, -0.24360000000000004], [0, 0], [-0.027679999999999927, -0.23922], [-0.008790000000000076, -0.2506999999999999], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 321.886 [-0.050263867692283117, -0.26135620735114007] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.2694399999999999, -0.24977000000000005], [-0.07661000000000007, -0.2883], [-0.018829999999999902, -0.24360000000000004], [0, 0], [-0.03425999999999996, -0.23859000000000008], [-0.008790000000000076, -0.2506999999999999], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 326.894 [-0.03690354363766148, -0.2520368403863523] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.22637000000000018, -0.24795999999999996], [-0.07661000000000007, -0.2883], [-0.018829999999999902, -0.24360000000000004], [0, 0], [-0.03208999999999995, -0.23707999999999996], [-0.022480000000000055, -0.2504599999999999], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 331.902 [-0.0036683755339639384, -0.2317558101889236] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.21980000000000022, -0.24954999999999994], [-0.07661000000000007, -0.2883], [-0.018829999999999902, -0.24360000000000004], [0, 0], [0.007540000000000102, -0.21375999999999995], [-0.0029999999999998916, -0.23581999999999992], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 336.91 [-0.006586537080170816, -0.23665698425926043] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.21980000000000022, -0.24954999999999994], [-0.0050600000000000644, -0.23463999999999996], [-0.018829999999999902, -0.24360000000000004], [0, 0], [0.007540000000000102, -0.21375999999999995], [-0.0022400000000000198, -0.23550000000000004], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 341.917 [-0.005427000491865596, -0.23677414623496298] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.21980000000000022, -0.24954999999999994], [-0.0011600000000000499, -0.23489000000000004], [-0.018829999999999902, -0.24360000000000004], [0, 0], [0.007540000000000102, -0.21375999999999995], [-0.0022400000000000198, -0.23550000000000004], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 346.924 [-0.005375170240157305, -0.23677749892679523] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.21980000000000022, -0.24954999999999994], [-0.0009999999999998899, -0.2349000000000001], [-0.018829999999999902, -0.24360000000000004], [0, 0], [0.007540000000000102, -0.21375999999999995], [-0.0022400000000000198, -0.23550000000000004], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 351.932 [-0.005375000054476759, -0.23677749999965658] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0.21980000000000022, -0.24954999999999994], [-0.0009999999999998899, -0.2349000000000001], [-0.018829999999999902, -0.24360000000000004], [0, 0], [0.007540000000000102, -0.21375999999999995], [-0.0022400000000000198, -0.23550000000000004], [0.07177999999999995, -0.13588], [0.0005700000000001815, -0.23310999999999993], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
