ID TIME ETH
11 18132.9 30.793034697430876037
11 18137.983 30.793034697430876037
11 18143.224 30.793034697430876037
11 18148.498 30.793034697430876037
11 18153.524 30.793034697430876037
11 18158.565 30.793034697430876037
11 18163.738 30.793034697430876037
11 18168.92 30.793034697430876037
11 18173.941 30.793034697430876037
11 18178.982 30.793034697430876037
11 18184.929 30.793034697430876037
11 18190.282 30.793034697430876037
11 18195.431 30.793034697430876037
11 18201.532 30.793034697430876037
11 18206.844 30.793034697430876037
11 18211.95 30.793034697430876037
11 18217.004 30.793034697430876037
11 18222.887 30.793034697430876037
11 18227.949 30.793034697430876037
11 18233.043 30.793034697430876037
11 18238.282 30.793034697430876037
11 18243.36 30.793034697430876037
11 18248.455 30.793034697430876037
11 18253.541 30.793034697430876037
11 18258.762 30.793034697430876037
11 18263.868 30.793034697430876037
11 18268.972 30.793034697430876037
11 18274.056 30.793034697430876037
11 18279.157 30.793034697430876037
11 18284.25 30.793034697430876037
11 18289.36 30.793034697430876037
11 18294.464 30.793034697430876037
11 18299.557 30.793034697430876037
11 18304.646 30.793034697430876037
11 18309.742 30.793034697430876037
11 18314.757 30.793034697430876037
11 18319.856 30.793034697430876037
11 18324.953 30.793034697430876037
11 18330.045 30.793034697430876037
11 18335.141 30.793034697430876037
11 18340.239 30.793034697430876037
11 18345.25 30.793034697430876037
11 18350.352 30.793034697430876037
11 18355.463 30.793034697430876037
11 18360.568 30.793034697430876037
11 18365.659 30.793034697430876037
11 18370.757 30.793034697430876037
11 18375.827 30.793034697430876037
11 18380.922 30.793034697430876037
11 18385.966 30.793034697430876037
11 18391.049 30.793034697430876037
11 18396.206 30.793034697430876037
11 18401.261 30.793034697430876037
11 18406.356 30.793034697430876037
11 18411.622 30.793034697430876037
11 18416.713 30.793034697430876037
11 18421.816 30.793034697430876037
11 18426.858 30.793034697430876037
11 18431.925 30.793034697430876037
11 18436.95 30.793034697430876037
11 18442.044 30.793034697430876037
11 18447.157 30.793034697430876037
11 18452.286 30.793034697430876037
11 18457.346 30.793034697430876037
11 18462.358 30.793034697430876037
11 18467.493 30.793034697430876037
11 18472.629 30.793034697430876037
11 18477.665 30.793034697430876037
11 18482.745 30.793034697430876037
11 18487.845 30.793034697430876037
11 18492.979 30.793034697430876037
11 18498.042 30.793034697430876037
11 18503.265 30.793034697430876037
11 18508.346 30.793034697430876037
11 18513.396 30.793034697430876037
11 18518.456 30.793034697430876037
11 18523.615 30.793034697430876037
11 18528.656 30.793034697430876037
11 18533.674 30.793034697430876037
11 18538.757 30.793034697430876037
11 18543.869 30.793034697430876037
11 18548.955 30.793034697430876037
11 18554.058 30.793034697430876037
11 18559.158 30.793034697430876037
11 18564.173 30.793034697430876037
11 18569.27 30.793034697430876037
11 18574.342 30.793034697430876037
11 18579.44 30.793034697430876037
11 18584.458 30.793034697430876037
11 18589.541 30.793034697430876037
11 18594.662 30.793034697430876037
11 18599.739 30.793034697430876037
11 18604.853 30.793034697430876037
11 18609.956 30.793034697430876037
11 18615.248 30.793034697430876037
11 18620.354 30.793034697430876037
11 18625.462 30.793034697430876037
11 18630.538 30.793034697430876037
11 18635.579 30.793034697430876037
11 18640.652 30.793034697430876037
11 18645.731 30.793034697430876037
11 18650.741 30.793034697430876037
11 18655.814 30.793034697430876037
11 18660.947 30.793034697430876037
